RunDirName	RunStats_RunName	RunParameters_Date	RunParameters_InstrumentName	RunParameters_RunDescription	NumSamplesFound	RunParameters_ThroughputSelection	RunParameters_KitConfiguration	RunParameters_PreparationWorkflow	RunParameters_ChemistryVersion	RunParameters_LowDiversity	RunParameters_LibraryType	RunParameters_PlatformVersion	RunParameters_Cycles_R1	RunParameters_Cycles_R2	RunParameters_Cycles_I1	RunParameters_Cycles_I2	RunStats_TotalYield	Metrics_TotalYield (gb)_1	Metrics_TotalYield (gb)_2	RunStats_AssignedYield	Metrics_AssignedYield (gb)_1	Metrics_AssignedYield (gb)_2	RunStats_NumPolonies	RunStats_NumPolonies_L1	RunStats_NumPolonies_L2	Unassigned_TotalCount_1+2	RunStats_PercentAssignedReads	RunStats_PercentAssignedReads_L1	RunStats_PercentAssignedReads_L2	RunStats_PercentQ30	RunStats_PercentQ30_L1	RunStats_PercentQ30_L2	RunStats_PercentQ40	RunStats_PercentQ40_L1	RunStats_PercentQ40_L2	RunStats_QualityScoreMean	RunStats_QualityScoreMean_L1	RunStats_QualityScoreMean_L2	RunStats_PercentMismatch	RunStats_PercentMismatch_L1	RunStats_PercentMismatch_L2	RunStats_PercentMismatchI1	RunStats_PercentMismatchI2	RunStats_PercentMismatchI1_L1	RunStats_PercentMismatchI1_L2	RunStats_PercentMismatchI2_L1	RunStats_PercentMismatchI2_L2	RunStats_PercentUnexpectedIndexPairs	RunStats_PercentUnexpectedIndexPairs_L1	RunStats_PercentUnexpectedIndexPairs_L2	RunStats_MeanReadLength	RunStats_MeanReadLength_L1	RunStats_MeanReadLength_L2	RunStats_PercentReadsTrimmed	RunStats_FlowCellID	RunStats_AnalysisVersion
20251024_AV251604_3522_JB_ANALYSIS	3522_JB	2025-10-24T13:01:05.242907202Z	AV251604	R1 AMB3and4 - 2x75 - 10pM lane 1 - 10.5pM lane 2 - LDHM - short insert recipe	85	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	115.044870592	55.784953	59.259917	113.482291864	55.027899	58.454393	767001544	371915731	395085813	861211	98.64154680241425	98.64260595097011	98.64054976836134	96.61442334462889	96.85568550473602	96.38731017152469	87.07090533401413	88.0480472909422	86.15106854604605	42.26082595446944	42.40218952719337	42.12775274668409	1.6465625564615627	1.6623593470914553	1.6316918696173364	1.0765944298553711	0.6845839353464903	1.0938225470796776	1.0603766675353874	0.6831468840718837	0.685936709750667	0.02694779451447884	0.02651702839641381	0.027353298054263467	75.0	75.0	75.0		2510406521	2.2.1.2035424704
20251027_AV251604_3323_JB_ANALYSIS	3323_JB	2025-10-27T17:21:27.834943621Z	AV251604	AMB3and4 R2 9.5pM Lane 1 and 10pM Lane 2 - 2x75 high - LDHM - short-insert-recipe	89	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	137.001375359	70.662966	66.338410	134.952467219	69.643375	65.309092	913405818	471091412	442314406	897276	98.50435176448592	98.55699364776363	98.44828499662297	91.42163479774696	91.64808740205464	91.18044917126213	74.53004273141893	75.05243229382694	73.97366646776894	39.71583729810809	39.83559201158465	39.5882913346485	3.145019128097346	2.869470508002962	3.438819022708429	1.0669181390078175	2.2083014635977496	1.0073493743881201	1.130362451594347	1.9799317342634621	2.4515289433966942	0.040698448890326644	0.039965491877826886	0.04147909213700808	75.0	75.0	75.0		2511465408	2.2.1.2035424704
20251104_AV251604_3524_JB_ANALYSIS	3524_JB	2025-11-04T18:16:48.138308575Z	AV251604	AMB9-12 - Pool 1 - LDHM - short insert - 2x75- high	45	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	137.259464819	70.314922	66.944543	135.572256818	69.457102	66.115155	915109298	468770248	446339050	696965	98.77055888027924	98.77975681596584	98.7608986934932	91.97295562902987	92.25986254571343	91.67162992945983	74.18273636278435	74.51225795939735	73.8366543415818	39.9977383374738	40.12100467705735	39.868277129505024	2.465514825987687	2.4022410827151277	2.5319811411875883	1.2722053901631236	1.3414067003739636	1.2626788896288592	1.2822106541390608	1.2855330035759347	1.4000883835130231	0.038617900700206854	0.03808838141110014	0.03917403149018667	75.0	75.0	75.0		2511500550	2.2.1.2035424704
20251104_AV251604_3525_JB_ANALYSIS	3525_JB	2025-11-04T18:16:48.764279217Z	AV251604	AMB9-12 Pool 2	45	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	123.03707734	58.059216	64.977862	121.238257939	57.096631	64.141627	820317135	387078871	433238264	790665	98.53772882605945	98.34190277980841	98.71269057619527	90.61067991547765	90.28559661681973	90.90112719745056	72.21219715388895	71.51065427180085	72.83899411371783	39.32560443853218	39.13522604854348	39.49569895322081	4.603605964027147	5.655084297676971	3.667686230098429	1.525313253536766	3.302598592680805	1.7669224910611805	1.3094462845838086	4.162094189453907	2.5346779982330263	0.04250002652937391	0.04496499629399818	0.040297687094416015	75.0	75.0	75.0		2511669186	2.2.1.2035424704
20251107_AV251604_3526_JB_ANALYSIS	3526_JB	2025-11-07T16:14:24.612341342Z	AV251604	pool 3 - 2x75 - high - LDHM - short insert - lane 1 9.5pM lane 2 10pM	89	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	165.70829893	82.067908	83.640391	163.959871878	81.214005	82.745867	1104782428	547125237	557657191	594512	98.94474000449978	98.95936878524944	98.93038750396029	94.82436411874815	95.18119432803036	94.47427303057947	79.92181402919032	80.6870366805373	79.17104342812405	41.05858825272699	41.23641873943875	40.88411628543553	1.7401544785810188	1.636846957982128	1.8415406178681955	0.9119072434486434	0.9151957390890618	0.8703738930267733	0.9526561920136586	0.8475918866668609	0.9815228202700338	0.0214422309765412	0.02111235091866179	0.021765880895813643	75.0	75.0	75.0		2511626923	2.2.1.2035424704
20251107_AV251604_3527_JB_ANALYSIS	3527_JB	2025-11-07T16:14:25.355986994Z	AV251604	Pool 4 - 2x75 - high - LDHM - short insert - lane 1 9.5pM and lane 2 10pM	89	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	165.912586926	83.803627	82.108960	164.099594425	82.890471	81.209124	1106119121	558707117	547412004	576367	98.90672661104826	98.90958378466476	98.90381048348367	94.76147775226823	94.85816701346943	94.6627934377559	80.00579131175391	80.15168511626459	79.85688718413027	41.05699541880836	41.09681108665741	41.016358208018644	1.7854874711571698	1.7769477957093895	1.794203860133101	1.009583901417564	0.8788288027187118	0.9923965421097851	1.0271258988482457	0.8866205275788409	0.8708763060594312	0.025751295189842396	0.026117619690174808	0.025377412074434523	75.0	75.0	75.0		2511521840	2.2.1.2035424704
20251111_AV251604_3528_JB_ANALYSIS	3528_JB	2025-11-11T17:49:50.119520796Z	AV251604	Pool 5 - 2x75 - High - LDHM - short insert - 9.5uM lane 1 and 10uM lane 2	89	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	160.859025724	78.216526	82.642500	159.065154208	77.353126	81.712028	1072492533	521451637	551040896	696379	98.88460939056253	98.8959666455127	98.87386198646135	95.58270180080902	96.04161330241766	95.14843248343344	81.70071497240593	83.11371190498343	80.36359177716398	41.463636596799816	41.74538088238213	41.197021142304955	1.9706091270669621	1.8769107346757223	2.0592960169448604	1.066330444702756	1.0032105531707463	1.037857215490104	1.0932747460992418	0.9343248221524553	1.0683973250894492	0.028103878649568183	0.027157647987209214	0.02899929953656289	75.0	75.0	75.0		2511640748	2.2.1.2035424704
20251111_AV251604_3529_JB_ANALYSIS	3529_JB	2025-11-11T17:49:50.86085457Z	AV251604	Pool 6 - 2x75 - High - LDHM - short insert - lane 1 9.5uM and lane 2 10uM 	87	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	133.710940511	72.934033	60.776908	131.962394685	71.982517	59.979878	891445457	486236254	405209203	838940	98.69212503037076	98.69520856418904	98.68842490233372	96.55399141935388	96.29658227829306	96.86287299353367	86.51341661762861	85.33705039333958	87.92501315096406	42.16316940395827	42.00681792992479	42.350785466176426	1.9531034726704963	1.958060824470912	1.9471544225480626	1.2525123100720432	0.8206364213129534	1.1834605204878594	1.3353719372740687	0.8838126112509695	0.7448272992347134	0.02360581888073944	0.025478149558136404	0.02135909040545656	75.0	75.0	75.0		2511459856	2.2.1.2035424704
20251114_AV251604_3530_JB_ANALYSIS	3530_JB	2025-11-14T13:10:38.64207707Z	AV251604	Pool 7 - 2x75 - High - LDHM - short insert	97	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	151.641269585	75.080314	76.560956	149.636912605	74.085251	75.551662	1010989840	500557205	510432635	1012718	98.67800105686523	98.67433033952634	98.6816007561899	96.03086739625395	96.27127913848194	95.7951069423033	83.70619570881807	84.65346086334594	82.77725745990621	41.83048087825162	41.97878836359306	41.68504272392379	1.97227060061417	1.949103164112303	1.994988138796328	1.2369239659035507	0.8480498657499804	1.2241032972306307	1.2494965908438582	0.8364655620254775	0.8594100459120665	0.027228166803338005	0.027164128024088675	0.02729096661305757	75.0	75.0	75.0		2517589398	2.2.1.2035424704
20251114_AV251604_3531_JB_ANALYSIS	3531_JB	2025-11-14T13:10:39.386871208Z	AV251604	Pool 8 - 2x75 - High - LDHM - short insert	87	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	134.328065739	68.554326	65.773740	132.60263412	67.670535	64.932099	895558753	457059614	438499139	1518214	98.71505192021723	98.71020347905865	98.72010558269307	95.93404126179834	95.96360578906891	95.9032253485603	83.42366100835076	83.4019339469942	83.44630771707551	41.77391734459064	41.78735333842032	41.75991264171368	2.0883609639625345	2.156233156433693	2.017623022395002	1.3627876120316313	0.8504267269713999	1.372591004644149	1.3525692684937483	0.9110413668984022	0.7872464343236993	0.022810228733256544	0.023186472126150267	0.02241805998164115	75.0	75.0	75.0		2517686188	2.2.1.2035424704
20251119_AV251604_3532_JB_ANALYSIS	3532_JB	2025-11-19T15:30:51.109780419Z	AV251604	2x75 - high - LDHM - short insert	42	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	122.818445324	59.502147	63.316298	111.966957545	54.230082	57.736876	818823710	396696149	422127561	61637156	91.16425842138841	91.13937478631787	91.18764292199343	96.77053939485948	96.7750383648586	96.7663114689006	87.27556600593958	87.5145958508746	87.0509367048886	42.26249609584461	42.28097744723338	42.24512816822843	1.7550551149858806	1.7965030711549907	1.7161248418156183	1.1521325733106074	0.7091962042272661	1.1795988337762133	1.1263210396397771	0.7255251532175442	0.6938510058082966	0.023992465972925966	0.023829069235557415	0.02414601874337222	75.0	75.0	75.0		2511484752	2.2.1.2035424704
20251212_AV251604_3536_JB_ANALYSIS	3536_JB	2025-12-12T13:26:57.134324958Z	AV251604	pool1 - high - 2x75 - LDHM - short	48	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.2	76	76	10	10	139.914022068	71.479701	68.434321	137.981655588	70.515957	67.465699	932837602	476541476	456296126	849444	98.61874082129893	98.65155116109977	98.58447472332912	94.19136613305889	94.26526629551968	94.11418710284353	79.43613180450102	79.58828747573695	79.27722515589946	41.0034791116407	41.04630971091661	40.95874816646299	2.468890419482079	2.383511204706822	2.55811848385422	1.562384524213741	1.085674228095551	1.4699175303617584	1.6589541754132489	1.0802488693641574	1.0913403039405334	0.03774933592353195	0.03788190726131045	0.03761088254341217	75.0	75.0	75.0		2527599621	2.2.1.2035424704
20251212_AV251604_3537_JB_ANALYSIS	3537_JB	2025-12-12T13:26:57.865483025Z	AV251604	pool2 - high - 2x75 - short - LDHM	52	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.2	76	76	10	10	108.978746673	57.245311	51.733435	107.258496918	56.352934	50.905563	726591058	381684721	344906337	435892	98.42118233169889	98.44074869321268	98.39952955111984	95.96470011149884	95.95818411255364	95.9719109307058	85.64211207509796	85.5860627686308	85.70413808507864	42.065644406292705	42.058605180006666	42.073434246121145	1.8968449063849482	1.9032715644575946	1.8897299755662142	1.3396862352910346	0.7248177969331175	1.2960565483234243	1.3879682849697845	0.7671005000123798	0.6780263640232198	0.04266664124016786	0.04336458623922753	0.04189427229920684	75.0	75.0	75.0		2527464035	2.2.1.2035424704
20251215_AV251604_3538_JB_ANALYSIS	3538_JB	2025-12-15T15:55:26.237597159Z	AV251604	pool 3 - high - 2x75 - short - LDHM	48	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.2	76	76	10	10	103.611908459	52.791358	50.820550	101.950587469	51.954636	49.995952	690770018	351959664	338810354	533399	98.39645443326117	98.41489506593005	98.37729811527542	93.51980698058226	93.79632860618558	93.23255348526529	79.26090099160422	79.81360992358867	78.6867412952006	40.866349550133485	40.994458511283646	40.73326864989099	2.2954966832491777	2.253219141223946	2.3394318110004595	1.3527900222473368	1.1411590617620633	1.339283494907081	1.3668207411092617	1.1059336227401146	1.1777516084066606	0.06125671192637084	0.061346234266208416	0.06116371520334352	75.0	75.0	75.0		2527552104	2.2.1.2035424704
20251219_AV251604_3535_SJ_ANALYSIS	3535_SJ	2025-12-19T16:09:11.916328064Z	AV251604	2 x 150 - low output - short insert	17	Low	300Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.2	151	151	10	10	100.536501081	50.961480	49.575021	97.536378759	49.437177	48.099202	335160488	169899413	165261075	1700494	97.01529346144167	97.00872068345521	97.02205071581436	94.29551288277155	94.28129148980638	94.31013342373575	82.40043647587322	82.3465157488998	82.45587058134127	41.18766103017887	41.17480844001896	41.200874350518816	2.0258996109174126	2.0423208500746286	2.0090198007375393	1.070372933412774	1.0615317775865831	1.0782348524484213	1.0622903560169172	1.071023228533844	1.0517739326466429	0.22457688986298407	0.22681538046279182	0.22227557215151844	150.0	150.0	150.0		2512547602	2.2.1.2035424704
20251219_AV251604_3540_WM_ANALYSIS	3540_WM	2025-12-19T16:09:11.263998732Z	AV251604	2X 75 - High -short insert	84	High	150Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.2	76	76	7	7	167.399794051	86.767814	80.631980	159.398240021	82.617152	76.781088	1116074688	578460936	537613752	32323727	95.21975764044925	95.21609770378686	95.22369565427337	95.1830231962636	94.95573782588723	95.42757740939136	80.2018706481646	79.59631842682171	80.85343192882709	41.28703754334525	41.15887164420958	41.42494131850258	1.8708336539050816	1.941290543530974	1.7950295916371979	0.92006160905854	1.038804810966269	0.9518550996569587	0.8858524909661357	1.088903854519833	0.984899308142191	2.6599401741830384	2.6665674447548176	2.652809372331681	75.0	75.0	75.0		2512454242	2.2.1.2035424704
20260106_AV251604_3539_DC_ANALYSIS	3539_DC	2026-01-06T17:20:52.926907724Z	AV251604	Manuka test qiagen - Short - low - 2x75	2	Low	150Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.2	76	76	10	10	21.253328022	10.269537	10.983791	20.59795294	9.995756	10.602197	141690357	68464255	73226102	2743691	96.91608371062259	97.33387298233217	96.52546301044401	95.92461501102719	96.17202084016932	95.69329782614038	81.71384442673588	82.47339384130692	81.00368802916752	41.496680047840755	41.66293986665012	41.341231999667734	2.9620994264195115	2.596646574851741	3.3066487776760294	1.9107149233935172	1.3289309394903528	1.5195536433661108	2.2764392333113483	1.3108872682508272	1.3458012422258314	0.0012322645217133583	0.0012663542457301258	0.001200391630842237	75.0	75.0	75.0		2512665029	2.2.1.2035424704
20260106_AV251604_3541_WM_ANALYSIS	3541_WM	2026-01-06T17:20:53.66440955Z	AV251604	2 x 75 high - short insert recipe	79	High	150Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.2	76	76	7	7	119.469696951	64.057661	55.412036	93.152316234	49.967078	43.185239	796520438	427098897	369421541	145504564	77.97138081722393	78.0031506379657	77.93465081128011	96.89218046990862	96.78579996114264	97.01517004391468	85.16064592348016	84.57523062626875	85.83746143090593	42.23863457211962	42.18318721681612	42.30273885858757	1.803427745645083	1.8659090137122252	1.7311278583792369	1.1863820317983982	0.6815089970743075	1.218399441194456	1.1493657814713667	0.7214875281207661	0.6352886644228803	0.5442539567327461	0.5621484899315954	0.5235655708555447	75.0	75.0	75.0		2512448451	2.2.1.2035424704
20260130_AV251604_3542_AS_ANALYSIS	3542_AS	2026-01-30T15:35:34.649450757Z	AV251604	2x75 high - short insert	29	High	150Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.2	76	76	7	7	89.196581158	49.577890	39.618691	83.930438548	46.658672	37.271767	594659521	330529861	264129660	12735474	94.09575870559382	94.11151780927896	94.07603788230371	96.84048517908116	96.7640457876815	96.93614085597203	86.14602611791585	85.49267964022168	86.96361896400931	42.248903781765904	42.19771903152395	42.31295599151316	1.7779397517632527	1.8820197029852788	1.6476457664647497	1.3355716729631177	0.48192722525694576	1.418181193819901	1.2321947426855064	0.5084983888132354	0.4486762719302021	0.557090046154327	0.5866507776736093	0.5200979700651567	75.0	75.0	75.0		2529685036	2.3.0.2116803307
